ColdTaker,0.0,-20.0,620.0,767.0,1001.0
AkshayM,0.0,203.0,413.0,499.0,950.0
sk,0.0,261.0,522.0,679.0,771.0
sudarshan,0.0,283.0,339.0,503.0,744.0
ds&ps,0.0,483.0,712.0,712.0,712.0
neela,0.0,294.0,452.0,603.0,672.0
mahaarajanmg,0.0,260.0,421.0,438.0,575.0
ntkesh,0.0,169.0,304.0,445.0,487.0
Sriram,0.0,192.0,339.0,407.0,463.0
