Player,Player Short Name,Team,Position,Pts
tim seifert,t seifert,nz,wk,406
shadley van schalkwyk,s van schalkwyk,usa,alr,320
george munsey,g munsey,scot,bat,298
sahibzada farhan,s farhan,pak,wk,297
bas de leede,b de leede,neth,alr,286
michael leask,m leask,scot,bowl,238
shubham ranjane,s ranjane,usa,alr,209
romario shepherd,r shepherd,wi,alr,207
suryakumar yadav,s yadav,ind,bat,206
finn allen,f allen,nz,bat,203
shadab khan,s khan,pak,alr,200
scott edwards,s edwards,neth,wk,184
shimron hetmyer,s hetmyer,wi,bat,170
brandon mcmullen,b mcmullen,scot,alr,169
glenn phillips,g phillips,nz,bat,165
aryan dutt,a dutt,neth,bowl,162
blessing muzarabani,b muzarabani,zim,bowl,157
richard ngarava,r ngarava,zim,bowl,154
dipendra singh airee,d singh airee,nep,alr,152
gulbadin naib,g naib,afgh,alr,149
milind kumar,m kumar,usa,alr,147
richie berrington,r berrington,scot,bat,147
lungi ngidi,l ngidi,sa,bowl,147
michael levitt,m levitt,neth,bat,147
george dockrell,g dockrell,ire,bowl,145
mohammad mohsin,m mohsin,usa,bowl,143
mitchell santner,m santner,nz,bowl,142
aiden markram,a markram,sa,bat,141
will jacks,w jacks,eng,bat,141
shayan jahangir,s jahangir,usa,bat,140
saim ayub,s ayub,pak,bat,140
muhammad waseem,m waseem,uae,bat,136
brad evans,b evans,zim,alr,133
bradley currie,b currie,scot,bowl,131
mohammad nawaz,m nawaz,pak,alr,128
jacob bethell,j bethell,eng,bat,126
maheesh theekshana,m theekshana,sl,bowl,124
kamindu mendis,k mendis,sl,bat,124
harry brook,h brook,eng,bat,123
kusal mendis,k mendis,sl,wk,122
salman mirza,s mirza,pak,bowl,119
navneet dhaliwal,n dhaliwal,can,bat,119
wanindu hasaranga,w hasaranga,sl,bowl,119
sufyan mehmood,s mehmood,oman,bowl,118
babar azam,b azam,pak,bat,116
jason holder,j holder,wi,alr,116
ben manenti,b manenti,ita,bowl,114
shaheen shah afridi,s shah afridi,pak,bowl,111
usman tariq,u tariq,pak,bowl,110
abrar ahmed,a ahmed,pak,bowl,107
michael jones,m jones,scot,bat,107
tristan stubbs,t stubbs,sa,wk,107
lokesh bam,l bam,nep,wk,107
mark watt,m watt,scot,bowl,105
axar patel,a patel,ind,alr,105
arshdeep singh,a singh,ind,bowl,105
matt henry,m henry,nz,bowl,104
ansh patel,a patel,can,bowl,104
brian bennett,b bennett,zim,alr,101
alishan sharafu,a sharafu,uae,bat,97
roelof van der merwe,r van der merwe,neth,alr,97
harry manenti,h manenti,ita,alr,96
logan van beek,l van beek,neth,bowl,96
sherfane rutherford,s rutherford,wi,bat,94
liam dawson,l dawson,eng,alr,93
paul van meekeren,p van meekeren,neth,bowl,91
lockie ferguson,l ferguson,nz,bowl,90
harmeet singh,h singh,usa,bowl,86
david miller,d miller,sa,bat,86
brendan taylor,b taylor,zim,wk,86
tilak varma,t varma,ind,bat,84
andries gous,a gous,usa,bat,83
sikandar raza,s raza,zim,alr,83
faheem ashraf,f ashraf,pak,alr,82
rovman powell,r powell,wi,bat,81
jj smuts,jj smuts,ita,alr,75
