Player,Player Short Name,Team,Position,Pts,Owner
Shamar Joseph,s joseph,wi,bowl,120,DS&PS
Salman Mirza,s mirza,pak,bowl,119,NEELA
Wanindu Hasaranga,w hasaranga,sl,bowl,119,COLDTAKER
Jofra Archer,j archer,eng,bowl,118,NEELA
Dushmantha Chameera,d chameera,sl,bowl,118,AKSHAYM
Tom Bruce,t bruce,scot,bat,117,UNDRAFTED
Arshdeep Singh,a singh,ind,bowl,117,MAHAARAJANMG
Babar Azam,b azam,pak,bat,116,MAHAARAJANMG
Matt Henry,m henry,nz,bowl,115,NEELA
Shaheen Shah Afridi,s shah afridi,pak,bowl,111,SUDARSHAN
Usman Tariq,u tariq,pak,bowl,110,UNDRAFTED
Lokesh Bam,l bam,nep,wk,109,UNDRAFTED
Rohit Paudel,r paudel,nep,bat,109,UNDRAFTED
Cameron Green,c green,aus,alr,109,COLDTAKER
Ansh Patel,a patel,can,bowl,108,UNDRAFTED
Abrar Ahmed,a ahmed,pak,bowl,107,AKSHAYM
Lockie Ferguson,l ferguson,nz,bowl,107,NTKESH
Roelof Van Der Merwe,r van der merwe,neth,alr,107,UNDRAFTED
Kagiso Rabada,k rabada,sa,bowl,105,SK
Shivam Dube,s dube,ind,bat,100,SRIRAM
James Neesham,j neesham,nz,alr,99,SK
Shakeel Ahmed,s ahmed,oman,bowl,97,UNDRAFTED
Matheesha Pathirana,m pathirana,sl,bowl,96,SUDARSHAN
Ryan Burl,r burl,zim,bat,94,UNDRAFTED
Oliver Davidson,o davidson,scot,bowl,93,UNDRAFTED
Corbin Bosch,c bosch,sa,alr,93,UNDRAFTED
Dewald Brevis,d brevis,sa,bat,92,SUDARSHAN
Brad Wheal,b wheal,scot,bowl,91,UNDRAFTED
Sufyan Mehmood,s mehmood,oman,bowl,91,UNDRAFTED
Paul Van Meekeren,p van meekeren,neth,bowl,91,UNDRAFTED
Jan Frylinck,j frylinck,nam,bowl,91,UNDRAFTED
Barry Mccarthy,b mccarthy,ire,bowl,88,UNDRAFTED
Brendan Taylor,b taylor,zim,wk,86,AKSHAYM
Monank Patel,m patel,usa,wk,84,UNDRAFTED
Kyle Klein,k klein,neth,bowl,84,UNDRAFTED
Andries Gous,a gous,usa,bat,83,UNDRAFTED
Faheem Ashraf,f ashraf,pak,alr,82,UNDRAFTED
Jasprit Bumrah,j bumrah,ind,bowl,81,SK
Louren Steenkamp,l steenkamp,nam,bat,80,UNDRAFTED
Kamil Mishara,k mishara,sl,bat,79,UNDRAFTED
Jan Loftie-Eaton,j loftie-eaton,nam,bat,79,UNDRAFTED
Mark Watt,m watt,scot,bowl,78,UNDRAFTED
Wasim Ali,w ali,oman,alr,75,UNDRAFTED
Muhammad Jawadullah,m jawadullah,uae,bowl,74,UNDRAFTED
