Player,Player Short Name,Team,Position,Pts
quentin sampson,q sampson,wi,bat,0
jayden seales,j seales,wi,bowl,0
roston chase,r chase,wi,alr,0
johnson charles,j charles,wi,bat,0
jason smith,j smith,sa,bat,0
tristan stubbs,t stubbs,sa,wk,0
ryan rickelton,r rickelton,sa,bat,0
anrich nortje,a nortje,sa,bowl,0
corbin bosch,c bosch,sa,alr,0
george linde,g linde,sa,alr,0
lungi ngidi,l ngidi,sa,bowl,0
kwena maphaka,k maphaka,sa,bowl,0
kagiso rabada,k rabada,sa,bowl,0
keshav maharaj,k maharaj,sa,bowl,0
marco jansen,m jansen,sa,alr,0
david miller,d miller,sa,bat,0
dewald brevis,d brevis,sa,bat,0
quinton de kock,q de kock,sa,wk,0
aiden markram,a markram,sa,bat,0
ish sodhi,i sodhi,nz,bowl,0
adam milne,a milne,nz,bowl,0
devon conway,d conway,nz,bat,0
michael bracewell,m bracewell,nz,alr,0
yuvraj samra,y samra,can,bat,0
jaskaran singh,j singh,can,bowl,0
ansh patel,a patel,can,bowl,0
ajayveer hundal,a hundal,can,alr,0
shreyas movva,s movva,can,wk,0
saad bin zafar,s bin zafar,can,bowl,0
ravinderpal singh,r singh,can,bat,0
nicholas kirton,n kirton,can,bat,0
navneet dhaliwal,n dhaliwal,can,bat,0
kanwarpal tathgur,k tathgur,can,wk,0
kaleem sana,k sana,can,bowl,0
harsh thaker,h thaker,can,alr,0
dilon heyliger,d heyliger,can,bowl,0
dilpreet bajwa,d bajwa,can,alr,0
shahidullah kamal,s kamal,afgh,alr,0
abdollah ahmadzai,a ahmadzai,afgh,bowl,0
mohammad ishaq,m ishaq,afgh,wk,0
noor ahmad,n ahmad,afgh,bowl,0
basir ahamad,b ahamad,nep,alr,0
lalit rajbanshi,l rajbanshi,nep,bowl,0
sompal kami,s kami,nep,bowl,0
sundeep jora,s jora,nep,bat,0
marcus campopiano,m campopiano,ita,wk,0
gian-piero meade,g meade,ita,wk,0
zain ali,z ali,ita,bowl,0
ali hasan,a hasan,ita,bowl,0
crishan kalugamage,c kalugamage,ita,bowl,0
harry manenti,h manenti,ita,alr,0
anthony mosca,a mosca,ita,bat,0
justin mosca,j mosca,ita,bat,0
syed naqvi,s naqvi,ita,bat,0
ben manenti,b manenti,ita,bowl,0
jaspreet singh,j singh,ita,bowl,0
jj smuts,jj smuts,ita,alr,0
grant stewart,g stewart,ita,alr,0
thomas draca,t draca,ita,bowl,0
wayne madsen,w madsen,ita,bat,0
josh tongue,j tongue,eng,bowl,0
jamie overton,j overton,eng,alr,0
ben duckett,b duckett,eng,bat,0
rehan ahmed,r ahmed,eng,alr,0
dion myers,d myers,zim,bat,0
tashinga musekiwa,t musekiwa,zim,bat,0
tinotenda maposa,t maposa,zim,bowl,0
brad evans,b evans,zim,alr,0
brian bennett,b bennett,zim,alr,0
brendan taylor,b taylor,zim,wk,0
richard ngarava,r ngarava,zim,bowl,0
blessing muzarabani,b muzarabani,zim,bowl,0
tony munyonga,t munyonga,zim,bat,0
wellington masakadza,w masakadza,zim,bowl,0
tadiwanashe marumani,t marumani,zim,bat,0
clive madande,c madande,zim,wk,0
graeme cremer,g cremer,zim,bowl,0
ryan burl,r burl,zim,bat,0
sikandar raza,s raza,zim,alr,0
traveen mathew,t mathew,sl,bowl,0
vijayakanth viyaskanth,v viyaskanth,sl,bowl,0
dushan hemantha,d hemantha,sl,bowl,0
dilshan madushanka,d madushanka,sl,bowl,0
pramod madushan,p madushan,sl,bowl,0
eshan malinga,e malinga,sl,bowl,0
nuwan thushara,n thushara,sl,bowl,0
milan rathnayake,m rathnayake,sl,bowl,0
sahan arachchige,s arachchige,sl,alr,0
charith asalanka,c asalanka,sl,bat,0
janith liyanage,j liyanage,sl,bat,0
niroshan dickwella,n dickwella,sl,wk,0
dhananjaya de silva,d de silva,sl,alr,0
kusal perera,k perera,sl,wk,0
hassnain shah,h shah,oman,bowl,0
jiten ramanandi,j ramanandi,oman,bowl,0
shafiq jan,s jan,oman,bowl,0
shakeel ahmed,s ahmed,oman,bowl,0
ashish odedara,a odedara,oman,bat,0
jay odedra,j odedra,oman,bowl,0
sufyan mehmood,s mehmood,oman,bowl,0
nadeem khan,n khan,oman,alr,0
shah faisal,s faisal,oman,bat,0
karan sonavale,k sonavale,oman,bat,0
wasim ali,w ali,oman,alr,0
hammad mirza,h mirza,oman,wk,0
mohammad nadeem,m nadeem,oman,bowl,0
vinayak shukla,v shukla,oman,wk,0
jatinder singh,j singh,oman,bat,0
tim tector,t tector,ire,bat,0
craig young,c young,ire,bowl,0
ben white,b white,ire,bowl,0
josh little,j little,ire,bowl,0
adam zampa,a zampa,aus,bowl,0
marcus stoinis,m stoinis,aus,alr,0
matthew short,m short,aus,bat,0
glenn maxwell,g maxwell,aus,alr,0
matthew kuhnemann,m kuhnemann,aus,bowl,0
josh inglis,j inglis,aus,wk,0
travis head,t head,aus,bat,0
josh hazlewood,j hazlewood,aus,bowl,0
cameron green,c green,aus,alr,0
nathan ellis,n ellis,aus,bowl,0
tim david,t david,aus,bat,0
pat cummins,p cummins,aus,bowl,0
cooper connolly,c connolly,aus,alr,0
xavier bartlett,x bartlett,aus,bowl,0
mitchell marsh,m marsh,aus,bat,0
saqib zulfiqar,s zulfiqar,neth,bat,0
timm van der gugten,t van der gugten,neth,bowl,0
fred klaassen,f klaassen,neth,bowl,0
noah croes,n croes,neth,wk,0
willem myburgh,w myburgh,nam,alr,0
jan balt,j balt,nam,bat,0
jan loftie-eaton,j loftie-eaton,nam,bat,0
max heingo,m heingo,nam,bowl,0
louren steenkamp,l steenkamp,nam,bat,0
dylan leicher,d leicher,nam,alr,0
ben shikongo,b shikongo,nam,bowl,0
jack brassell,j brassell,nam,bowl,0
malan kruger,m kruger,nam,bat,0
jan frylinck,j frylinck,nam,bowl,0
jj smit,jj smit,nam,alr,0
ruben trumpelmann,r trumpelmann,nam,bowl,0
bernard scholtz,b scholtz,nam,bowl,0
zane green,z green,nam,wk,0
gerhard erasmus,g erasmus,nam,bat,0
washington sundar,w sundar,ind,alr,0
kuldeep yadav,k yadav,ind,bowl,0
harshit rana,h rana,ind,bowl,0
jasprit bumrah,j bumrah,ind,bowl,0
sanju samson,s samson,ind,wk,0
rachin ravindra,r ravindra,nz,alr,-4
shivam dube,s dube,ind,bat,-5
monank patel,m patel,usa,wk,-6
michael leask,m leask,scot,bowl,-6
fazalhaq farooqi,f farooqi,afgh,bowl,-9
logan van beek,l van beek,neth,bowl,-10
safyaan sharif,s sharif,scot,bowl,-12
akeal hosein,a hosein,wi,bowl,-14
abhishek sharma,a sharma,ind,bat,-20
adil rashid,a rashid,eng,bowl,-25
saurabh netravalkar,s netravalkar,usa,bowl,-30
matthew humphreys,m humphreys,ire,bowl,-33
