Player,Player Short Name,Team,Position,Pts
romario shepherd,r shepherd,wi,alr,207
suryakumar yadav,s yadav,ind,bat,206
tim seifert,t seifert,nz,wk,172
shimron hetmyer,s hetmyer,wi,bat,170
shadley van schalkwyk,s van schalkwyk,usa,alr,159
dipendra singh airee,d singh airee,nep,alr,152
gulbadin naib,g naib,afgh,alr,149
george dockrell,g dockrell,ire,bowl,145
will jacks,w jacks,eng,bat,141
jacob bethell,j bethell,eng,bat,126
sahibzada farhan,s farhan,pak,wk,124
maheesh theekshana,m theekshana,sl,bowl,124
kamindu mendis,k mendis,sl,bat,124
harry brook,h brook,eng,bat,123
kusal mendis,k mendis,sl,wk,122
salman mirza,s mirza,pak,bowl,119
wanindu hasaranga,w hasaranga,sl,bowl,119
mohammad mohsin,m mohsin,usa,bowl,116
jason holder,j holder,wi,alr,116
glenn phillips,g phillips,nz,bat,114
saim ayub,s ayub,pak,bat,113
lokesh bam,l bam,nep,wk,107
axar patel,a patel,ind,alr,105
arshdeep singh,a singh,ind,bowl,105
sherfane rutherford,s rutherford,wi,bat,94
scott edwards,s edwards,neth,wk,94
liam dawson,l dawson,eng,alr,93
richie berrington,r berrington,scot,bat,92
paul van meekeren,p van meekeren,neth,bowl,91
milind kumar,m kumar,usa,alr,90
bradley currie,b currie,scot,bowl,90
roelof van der merwe,r van der merwe,neth,alr,90
shubham ranjane,s ranjane,usa,alr,89
aryan dutt,a dutt,neth,bowl,88
abrar ahmed,a ahmed,pak,bowl,87
tilak varma,t varma,ind,bat,84
faheem ashraf,f ashraf,pak,alr,81
rovman powell,r powell,wi,bat,81
sanjay krishnamurthi,s krishnamurthi,usa,bat,76
mitchell santner,m santner,nz,bowl,70
mohammad nawaz,m nawaz,pak,alr,69
mujeeb ur rahman,m ur rahman,afgh,bowl,69
jos buttler,j buttler,eng,wk,69
ross adair,r adair,ire,bat,69
sandeep lamichhane,s lamichhane,nep,bowl,68
harry tector,h tector,ire,bat,68
mark adair,m adair,ire,bowl,67
shamar joseph,s joseph,wi,bowl,65
azmatullah omarzai,a omarzai,afgh,alr,65
lockie ferguson,l ferguson,nz,bowl,63
michael levitt,m levitt,neth,bat,63
rohit paudel,r paudel,nep,bat,62
harmeet singh,h singh,usa,bowl,61
tom bruce,t bruce,scot,bat,61
mark chapman,m chapman,nz,bat,60
nandan yadav,n yadav,nep,bowl,60
kushal bhurtel,k bhurtel,nep,bat,58
brandon king,b king,wi,bat,57
daryl mitchell,d mitchell,nz,alr,56
matheesha pathirana,m pathirana,sl,bowl,56
ishan kishan,i kishan,ind,wk,55
dunith wellalage,d wellalage,sl,bowl,54
salman agha,s agha,pak,bat,53
kyle klein,k klein,neth,bowl,53
barry mccarthy,b mccarthy,ire,bowl,51
matt henry,m henry,nz,bowl,50
bas de leede,b de leede,neth,alr,50
varun chakravarthy,v chakravarthy,ind,bowl,50
dushmantha chameera,d chameera,sl,bowl,48
rahmanullah gurbaz,r gurbaz,afgh,wk,47
sediqullah atal,s atal,afgh,bat,46
sam curran,s curran,eng,alr,46
george munsey,g munsey,scot,bat,45
shaheen shah afridi,s shah afridi,pak,bowl,43
brandon mcmullen,b mcmullen,scot,alr,42
gudakesh motie,g motie,wi,bowl,41
rashid khan,r khan,afgh,bowl,39
ali khan,a khan,usa,bowl,38
darwish rasooli,d rasooli,afgh,bat,38
aasif sheikh,a sheikh,nep,wk,37
kamil mishara,k mishara,sl,bat,37
colin ackermann,c ackermann,neth,alr,36
luke wood,l wood,eng,bowl,34
gareth delany,g delany,ire,alr,34
shadab khan,s khan,pak,alr,30
babar azam,b azam,pak,bat,30
mohammad nabi,m nabi,afgh,alr,30
pathum nissanka,p nissanka,sl,bat,30
michael jones,m jones,scot,bat,29
lorcan tucker,l tucker,ire,wk,29
sher malla,s malla,nep,bowl,27
dasun shanaka,d shanaka,sl,bat,25
andries gous,a gous,usa,bat,23
shai hope,s hope,wi,wk,20
jacob duffy,j duffy,nz,bowl,20
paul stirling,p stirling,ire,bat,19
mark watt,m watt,scot,bowl,18
pavan rathnayake,p rathnayake,sl,bat,18
curtis campher,c campher,ire,alr,18
aarif sheikh,a sheikh,nep,bat,17
rinku singh,r singh,ind,bat,17
phil salt,p salt,eng,bat,16
tom banton,t banton,eng,wk,16
saiteja mukkamalla,s mukkamalla,usa,bat,15
jofra archer,j archer,eng,bowl,13
oliver davidson,o davidson,scot,bowl,12
matthew cross,m cross,scot,wk,12
zach lion-cachet,z lion-cachet,neth,alr,12
ibrahim zadran,i zadran,afgh,bat,10
usman khan,u khan,pak,bat,9
hardik pandya,h pandya,ind,alr,9
matthew forde,m forde,wi,bowl,8
james neesham,j neesham,nz,alr,5
max o'dowd,m o'dowd,neth,bat,5
ben calitz,b calitz,ire,bat,4
karan kc,k kc,nep,alr,3
finn allen,f allen,nz,bat,1
gulsan jha,g jha,nep,alr,1
matt renshaw,m renshaw,aus,bat,0
ben dwarshuis,b dwarshuis,aus,bowl,0
mayank kumar,m kumar,uae,bat,0
muhammad arfan,m arfan,uae,bowl,0
muhammad rohid,m rohid,uae,bowl,0
sohaib khan,s khan,uae,bat,0
simranjeet singh,s singh,uae,bowl,0
muhammad zohaib,m zohaib,uae,bat,0
muhammad jawadullah,m jawadullah,uae,bowl,0
muhammad farooq,m farooq,uae,alr,0
junaid siddique,j siddique,uae,bowl,0
harshit kaushik,h kaushik,uae,alr,0
haider ali,h ali,uae,bat,0
dhruv parashar,d parashar,uae,alr,0
aryansh sharma,a sharma,uae,wk,0
alishan sharafu,a sharafu,uae,bat,0
muhammad waseem,m waseem,uae,bat,0
shehan jayasuriya,s jayasuriya,usa,alr,0
jasdeep singh,j singh,usa,bowl,0
nosthush kenjige,n kenjige,usa,bowl,0
shayan jahangir,s jahangir,usa,bat,0
shivam sharma,s sharma,can,alr,0
usman tariq,u tariq,pak,bowl,0
khawaja nafay,k nafay,pak,wk,0
naseem shah,n shah,pak,bowl,0
fakhar zaman,f zaman,pak,bat,0
finlay mccreath,f mccreath,scot,bat,0
zainullah ihsan,z ihsan,scot,bowl,0
brad wheal,b wheal,scot,bowl,0
chris greaves,c greaves,scot,alr,0
